x,y,colour
0.9603173,1.3653197,orange
-9.1512505,9.9570555,blue
3.8307738,2.6321387,orange
9.7907377,7.92286,orange
-0.914533,7.0093001,orange
-0.5911703,-1.6345745,blue
3.1193847,-1.5085893,blue
-7.5332566,1.6656787,blue
-4.9075247,-2.0683712,orange
1.7263504,-2.7150133,blue
-8.3124955,7.9302434,blue
9.1748102,5.4195748,orange
-0.3722815,9.0664242,orange
-7.1591792,2.1246241,blue
7.8703171,3.3246193,orange
-1.6243267,8.7114222,orange
3.5030521,0.5288077,blue
7.9225422,-3.7810815,blue
6.9342862,5.9042194,orange
8.4665185,-8.3043319,blue
5.3409755,7.3127409,orange
7.7781518,5.6675733,orange
-4.8821846,-6.8111516,orange
7.124815,-2.86718,blue
-6.2580552,-8.0931799,orange
-9.1882451,-7.4039113,orange
4.6299335,-8.9943295,blue
-9.8017708,1.6558155,blue
-1.2660811,8.828515,orange
-8.7923603,-8.5865313,orange
1.8692932,2.4303977,orange
-3.6265739,-9.7945293,orange
0.8256903,2.7195234,orange
8.0288686,5.0202896,orange
4.6575354,-1.716007,blue
-1.2553564,-2.2137365,blue
0.6401662,-2.9571942,blue
-7.9652973,9.6662476,blue
9.9218523,-0.4391037,blue
8.9535727,7.122856,orange
5.6233317,-0.1564555,blue
-0.703809,1.8825142,orange
-0.1304137,-6.5839292,blue
-9.3766103,1.1492455,blue
9.5493874,-5.2652903,blue
-1.1513545,2.7903368,orange
-4.1594731,-1.4003771,orange
-1.5808398,6.9225101,orange
-1.2066023,1.5578815,orange
0.8024342,-1.2830081,blue
2.6800949,3.7610794,orange
1.9349622,-9.5896825,blue
-3.8038121,7.7009888,blue
8.275505,5.9408002,orange
-4.4796755,-4.2142042,orange
-0.5375323,-3.403934,blue
-8.5097413,6.4636892,blue
-9.9816818,9.8697801,blue
-8.6894188,-0.9963461,orange
-3.7460862,8.7995152,blue
7.3868813,1.2280344,orange
4.3883371,5.5753706,orange
-5.9824358,-8.0078463,orange
-5.040174,8.7043921,blue
-9.585907,-7.5255567,orange
5.3809976,6.5360228,orange
3.5814532,-5.265867,blue
-8.8857444,-7.6035852,orange
5.8522541,-0.528355,blue
3.633691,-0.9924316,blue
9.6851404,-6.3633821,blue
-0.7367527,-2.8837882,blue
5.0319859,0.288482,blue
-1.6026058,-5.1605077,blue
-2.3259512,-5.3023799,orange
1.3704825,-6.3656924,blue
-9.8989156,0.2174637,orange
5.3836352,7.5879347,orange
-0.7409281,-4.631479,blue
-3.0798969,6.3228452,blue
1.2233975,3.5569215,orange
-0.0781497,8.0447999,orange
-7.5978926,-3.5924561,orange
9.9488829,-1.0695842,blue
-2.6702216,-9.218486,orange
9.8702409,0.3549757,blue
4.7916789,9.0241021,orange
-7.2463576,-5.2348591,orange
-4.926752,-0.3595633,orange
5.8765904,0.1200224,blue
-9.5098081,-4.7835751,orange
-1.4968372,-5.5561512,blue
-4.5903277,-4.4289442,orange
0.0339779,-4.618243,blue
0.8617757,3.6132451,orange
7.4623876,-6.0949421,blue
3.9183184,4.3200192,orange
1.3374334,1.8563482,orange
9.0237203,0.9691976,blue
9.4441489,-1.1781076,blue
-7.0866757,5.9346086,blue
0.2300496,-7.3936209,blue
9.4375111,-6.9802308,blue
-0.8299606,-9.241746,blue
1.2286666,7.9243925,orange
-3.1851088,4.2925743,blue
7.0488131,5.6422483,orange
9.5551044,6.7308792,orange
4.7012127,-0.2417757,blue
-0.4688702,9.5031328,orange
7.9108845,8.6499688,orange
0.9232619,7.9026167,orange
3.9919702,-7.6235875,blue
0.8307662,7.7478332,orange
5.83247,9.3867008,orange
6.2057091,1.472765,orange
4.6869969,-2.359018,blue
-2.1288814,3.1140843,blue
-6.5452927,5.9536589,blue
-4.6164381,1.8685703,blue
-0.0723598,4.313876,orange
2.0095279,-0.2253811,blue
-7.1471887,5.4494967,blue
-8.1185971,-1.1613817,orange
7.9898157,-4.4081252,blue
6.8665247,-5.4014542,blue
6.8410562,-8.0562146,blue
9.3925187,5.2472189,orange
8.7084146,9.1058482,orange
-0.1258428,8.7350191,orange
-1.400627,-0.0647203,blue
9.040661,0.4049786,blue
4.7476251,-4.9599374,blue
-4.2223432,-8.7566237,orange
-1.8173754,-9.1405567,blue
5.1921651,0.6489961,blue
1.3789155,-1.7743843,blue
1.1737709,1.3516286,orange
4.2024593,-3.4233198,blue
2.3028599,5.4367272,orange
4.9992491,1.5755139,orange
8.7855325,6.5745876,orange
4.8907781,-4.0665398,blue
-7.4507449,6.3014846,blue
7.7882299,2.1247018,orange
3.3988007,5.0457442,orange
-2.8265822,0.0442128,orange
1.7520958,3.8724332,orange
-4.8066671,7.6976056,blue
-3.4931917,-6.2327771,orange
-3.7315663,-6.8645683,orange
5.343921,2.1772995,orange
4.963258,-7.8176363,blue
9.3293056,-7.1417566,blue
7.443664,-5.1698736,blue
6.0991053,-0.9094465,blue
-4.1826264,5.0489395,blue
-5.7155556,-6.9914895,orange
-3.8745377,-4.0018265,orange
1.8102444,-8.0812025,blue
0.2649246,7.2474433,orange
-8.146621,9.4869558,blue
0.4330506,6.2904633,orange
5.6731174,-9.1256459,blue
8.8077762,3.2353008,orange
1.7294012,1.4294983,orange
-9.4224797,1.4630789,blue
9.0803257,-0.2923288,blue
9.2147183,9.613058,orange
6.404922,0.0426652,blue
-7.3579052,-9.0512341,orange
-1.3511014,-3.5653057,blue
-0.3303048,-1.8804989,blue
-8.6403122,-0.730384,orange
8.369132,6.9959359,orange
-3.1345357,9.9095533,blue
6.4927406,1.2502549,orange
8.1133634,-9.4837831,blue
-8.9701288,-2.4181377,orange
-3.8114637,-6.5312033,orange
0.4707301,-2.4126657,blue
1.3027823,-7.7044908,blue
9.2750839,1.2667602,orange
-2.9453181,2.7322904,blue
9.572158,-4.4671522,blue
-1.116722,-0.0104358,blue
8.3401707,-2.158953,blue
-0.7743667,-6.3631108,blue
-6.8709996,-7.1342273,orange
-9.1073831,-0.0932978,orange
-6.7507538,2.0363858,blue
7.1080802,9.4205054,orange
-0.0767309,0.9188846,blue
-9.4023179,9.1009606,blue
-8.8229656,-6.7576515,orange
-0.4641422,-5.6097464,blue
9.4809594,-3.6615338,blue
-3.8335859,-5.7320919,orange
9.260395,2.1624371,orange
6.8288908,8.5203375,orange
9.6802895,3.2873997,orange
1.9443893,6.7949217,orange
6.6707965,-0.1793203,blue
-6.4159361,5.9287326,blue
8.0439382,6.1460819,orange
1.580453,5.4598895,orange
-5.7742186,-3.109479,orange
2.641558,-6.4179372,blue
3.803421,5.1987951,orange
9.0011326,6.7207287,orange
4.067227,8.4176404,orange
4.0033739,-3.7419616,blue
7.6226251,8.5897885,orange
4.8669248,-7.8220058,blue
8.8908686,-8.9719599,blue
3.5848947,4.0921796,orange
-9.505623,8.3029579,blue
7.3427678,5.1616314,orange
-4.0261125,3.5786624,blue
7.7807301,-7.5702613,blue
7.6325379,5.4422868,orange
-6.1939715,-2.7447262,orange
-0.2567735,4.7847065,orange
-1.3801087,1.8271869,orange
0.0967855,-2.9637488,blue
-5.4606843,-6.7976523,orange
-2.9839715,8.4404554,blue
-6.8999889,2.5966173,blue
0.4046398,-2.2542111,blue
2.6577872,5.9983023,orange
-8.7322976,0.1620874,orange
-6.3180521,8.2482453,blue
6.1245055,-5.5804127,blue
5.2673745,-3.5196482,blue
-7.3583144,-7.6134369,orange
-0.6857769,7.6573611,orange
-9.4841052,9.7969769,blue
-8.28072,1.940834,blue
-8.1846143,-6.1428286,orange
1.7581481,9.3412542,orange
-6.81405,-5.3618952,orange
-6.8054745,-9.8421946,orange
-2.181161,8.727927,blue
2.0582674,-5.8773991,blue
-4.290641,0.7248686,orange
5.1936955,-8.8785164,blue
-7.1775715,3.9063937,blue
6.5184544,6.6496848,orange
-3.1016709,7.2704979,blue
3.2056435,-5.8165137,blue
-0.9051867,-3.2872194,blue
-5.7227387,6.7848087,blue
7.5626449,1.9538507,orange
3.5061597,9.1867785,orange
-2.3713096,9.1709041,blue
-3.1538174,0.1901652,orange
2.4399406,-6.4401088,blue
-5.5054349,-0.3788782,orange
-0.0403796,-6.7487806,blue
-2.7832724,7.5831043,blue
-4.1705101,-7.1523549,orange
1.398293,9.9790851,orange
-3.8904052,4.5032809,blue
-1.9156557,7.6797265,orange
-2.0786818,-5.3092043,orange
6.2159526,-5.6394271,blue
7.8662754,8.4895899,orange
-1.3395266,-6.7045227,blue
8.311302,-4.1669794,blue
-3.0016934,4.573865,blue
-5.6427844,-2.5193812,orange
8.3794676,3.9006142,orange
-6.647532,-0.9609952,orange
-1.9569187,-3.9614455,blue
-0.6057372,-2.9211428,blue
-0.1282729,-9.8066928,blue
-3.2343027,-0.7493772,orange
-5.099947,-6.9640788,orange
-1.716523,-8.3882397,blue
1.2816797,-9.6451521,blue
3.0200349,-1.8987786,blue
-0.5297509,3.8290498,orange
9.9819945,2.8920429,orange
-8.6828574,1.588278,blue
-2.0805899,9.2960361,blue
4.7307161,-1.1398051,blue
2.3225105,8.93641,orange
-6.0834558,-0.0364457,orange
1.6385415,1.264781,orange
4.3309647,5.32452,orange
0.4933806,-4.0419371,blue
-7.9408323,-2.4596943,orange
-6.6544508,-6.879466,orange
8.7116983,9.2956124,orange
3.4608318,-2.169112,blue
-7.8932085,-7.7172204,orange
8.8663344,8.3974372,orange
-9.4207274,7.9504601,blue
-8.4922627,-5.4873086,orange
-3.4298672,6.0085022,blue
-9.7566827,-8.8840346,orange
-5.5908011,-8.5041391,orange
-4.4798299,4.4712248,blue
8.1599029,7.2938235,orange
-8.0499116,9.4140768,blue
-6.930227,-8.2657466,orange
-1.8035856,-3.4161971,blue
2.4190938,-2.9736454,blue
3.7507228,-4.4550047,blue
-7.5520202,-2.9360224,orange
2.334471,9.2288324,orange
-5.6570896,-6.4754311,orange
3.970932,4.1332718,orange
2.5868022,-6.0808621,blue
-0.3097254,6.7629708,orange
-6.2871995,7.0058543,blue
-4.3957426,1.016454,blue
-0.7163554,-6.89852,blue
-7.4180133,6.2457938,blue
-4.675581,1.4063616,blue
7.9369093,8.6990823,orange
-4.3776087,0.3356674,orange
-8.2266321,1.1269662,blue
-6.1738727,-5.9737989,orange
-0.7317424,-3.0846097,blue
-7.0426462,8.4997259,blue
4.3495985,3.2406464,orange
-1.4306202,-0.9897064,blue
-9.761337,6.5862472,blue
-3.6496517,-1.2915885,orange
9.3138779,-1.5194268,blue
-8.7043603,8.0473891,blue
6.7121092,1.7624219,orange
-6.0763909,5.5224384,blue
